"Category","Temperature-based Excess Mortality (factor)"
1950,0.09
1951,0.06
1952,0.09
1953,0.09
1954,0.03
1955,0.15
1956,0.13
1957,0.06
1958,0.11
1959,0.03
1960,0.06
1961,0.09
1962,0.12
1963,0.04
1964,0.05
1965,0.08
1966,0.13
1967,0.05
1968,0.1
1969,0.03
1970,0.07
1971,0.1
1972,0.01
1973,0.08
1974,0.08
1975,0.12
1976,0.09
1977,0.07
1978,0.06
1979,0.08
1980,0.09
1981,0.03
1982,0.06
1983,0.13
1984,0.11
1985,0.05
1986,0.09
1987,0.06
1988,0.08
1989,0.06
1990,0.1
1991,0.03
1992,0.02
1993,0.03
1994,0.06
1995,0.09
1996,0.11
1997,0.1
1998,0.07
1999,0.05
2000,0.13
2001,0.09
2002,0.06
2003,0.05
2004,0.07
2005,0.11
2006,0.08
2007,0.08
2008,0.16
2009,0.04
2010,0.07
2011,0.12
2012,0.09
2013,0.12
2014,0.12
2015,0.17
2016,0.14
2017,0.12
2018,0.21
2019,0.16
2020,0.04
2021,0.23
2022,0.13
2023,0.15
2024,0.07
