"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.96
1952,0.71
1953,0.2
1954,1.16
1955,-0.27
1956,0.08
1957,-1.02
1958,0.78
1959,0.58
1960,0.66
1961,-0.89
1962,-0.85
1963,0.32
1964,0.88
1965,-0.54
1966,-0.31
1967,-0.35
1968,0.32
1969,2.3
1970,0.33
1971,-1.13
1972,0.01
1973,0.28
1974,-1.27
1975,-1.45
1976,-0.65
1977,-0.74
1978,0.38
1979,1.05
1980,-0.36
1981,0.19
1982,-0.48
1983,-0.77
1984,-0.58
1985,0.1
1986,-1.1
1987,0.93
1988,0.47
1989,-0.63
1990,0.38
1991,-0.19
1992,0.73
1993,1.04
1994,1.14
1995,-0.27
1996,-0.22
1997,-0.22
1998,0.92
1999,0.78
2000,-0.52
2001,-0.72
2002,0.89
2003,1.22
2004,0.45
2005,0.46
2006,-0.62
2007,-0.31
2008,-1.31
2009,0.27
2010,0.89
2011,-1.11
2012,-0.06
2013,-0.64
2014,-0.3
2015,-0.24
2016,0
2017,0.67
2018,-0.81
2019,-0.09
2020,-0.69
2021,-1.31
2022,-0.57
2023,-0.53
2024,-0.01
