"Category","Average Largest 1-Day Precipitation (mm)"
1950,23.89
1951,32.29
1952,28.99
1953,29.89
1954,30.31
1955,35.17
1956,29.52
1957,30.77
1958,29.03
1959,37.65
1960,33.26
1961,25.13
1962,32.42
1963,25.41
1964,27.1
1965,48.01
1966,34.77
1967,34.03
1968,31.17
1969,35.77
1970,21.37
1971,28.38
1972,20.18
1973,23.23
1974,19.63
1975,26.81
1976,31.42
1977,40.09
1978,29.71
1979,33.57
1980,25.96
1981,26.46
1982,28.35
1983,24.22
1984,31.02
1985,29.94
1986,25.03
1987,37.33
1988,18.32
1989,40.51
1990,30.59
1991,29.99
1992,31.28
1993,31.16
1994,33.94
1995,27.04
1996,25.19
1997,23.83
1998,34.2
1999,35.01
2000,23.32
2001,26.64
2002,40.72
2003,32.43
2004,32.39
2005,33.37
2006,27.26
2007,26.49
2008,32.79
2009,30.05
2010,25.04
2011,31.35
2012,23.86
2013,28.83
2014,24.22
2015,26.23
2016,26.84
2017,32.54
2018,27.88
2019,23.21
2020,25.02
2021,26.96
2022,34.44
2023,25.49
2024,33.88
