"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,68
1951,71.06
1952,69.19
1953,58.8
1954,110.92
1955,88.04
1956,63.42
1957,53.72
1958,73.36
1959,87.71
1960,63.4
1961,45.13
1962,68.18
1963,60.33
1964,69.81
1965,87.4
1966,63.82
1967,85.99
1968,73.28
1969,96.71
1970,51.86
1971,49.46
1972,47.78
1973,54.08
1974,41.42
1975,48.93
1976,67.26
1977,105.11
1978,58.94
1979,73.12
1980,53.72
1981,59.92
1982,44.79
1983,42.74
1984,54.07
1985,53.22
1986,61.47
1987,78.08
1988,46.81
1989,89.13
1990,57.08
1991,86.33
1992,61.69
1993,104.63
1994,66.21
1995,43.84
1996,58.07
1997,44.94
1998,79.44
1999,54.33
2000,48.7
2001,58.69
2002,64.98
2003,77.07
2004,79.3
2005,71.91
2006,67.58
2007,82.26
2008,63.23
2009,54.12
2010,68.69
2011,70.52
2012,52.57
2013,41.94
2014,72.01
2015,61.88
2016,66.87
2017,76.1
2018,63.21
2019,58.08
2020,60.33
2021,64.38
2022,97.93
2023,51.46
2024,61.75
