"Category","Precipitation amount during wettest days (mm)"
1950,12.72
1951,20.23
1952,25.84
1953,27.28
1954,24.36
1955,34.3
1956,23.46
1957,15.45
1958,22.47
1959,28.22
1960,27.11
1961,23.2
1962,21.96
1963,23.38
1964,29.38
1965,24.52
1966,26.03
1967,31.57
1968,28.08
1969,37.26
1970,12.23
1971,23.3
1972,15.95
1973,18.48
1974,11.16
1975,17.54
1976,29.89
1977,30.52
1978,28.28
1979,32.85
1980,18.62
1981,17.74
1982,18.47
1983,15.13
1984,23.03
1985,18.66
1986,23.41
1987,31.1
1988,13.23
1989,21.03
1990,22.72
1991,21.06
1992,24.68
1993,27.18
1994,33.72
1995,16.59
1996,18.5
1997,20.55
1998,26.38
1999,28.85
2000,11.27
2001,19.1
2002,25.78
2003,31.95
2004,24.78
2005,29.12
2006,24
2007,21.3
2008,19.23
2009,24.34
2010,24.39
2011,16.97
2012,15.21
2013,16.97
2014,21.3
2015,19.4
2016,19.91
2017,27.83
2018,22.95
2019,15.01
2020,20.52
2021,22.34
2022,25.15
2023,22.01
2024,24.25
