"Category","Precipitation (mm)"
1950,502.21
1951,770.29
1952,780.77
1953,852.81
1954,808.73
1955,764.62
1956,677.38
1957,657.46
1958,944.23
1959,792.01
1960,740.04
1961,595.87
1962,723.59
1963,821.8
1964,732
1965,721.9
1966,689.56
1967,762.91
1968,828.3
1969,1255.43
1970,657.36
1971,570.44
1972,823.05
1973,634.37
1974,597.83
1975,549.19
1976,732.65
1977,749.83
1978,840.33
1979,787.08
1980,684.42
1981,858.24
1982,623.46
1983,609.31
1984,699.97
1985,712.83
1986,662.88
1987,967.36
1988,708.26
1989,706.47
1990,761.78
1991,787.27
1992,776.61
1993,1070.28
1994,831.22
1995,539.82
1996,763.17
1997,715.47
1998,1042.24
1999,874.88
2000,647.76
2001,709.08
2002,942.83
2003,988.89
2004,828.72
2005,745.98
2006,751.76
2007,722.8
2008,639.28
2009,851.3
2010,865.35
2011,752.85
2012,664.57
2013,683.03
2014,764.9
2015,833.42
2016,837.51
2017,785.69
2018,714.43
2019,716.44
2020,641.51
2021,608.53
2022,853.44
2023,691.29
2024,879.99
