"Category","Relative Humidity (%)"
1950,54.02
1951,60.35
1952,58.98
1953,60.19
1954,59.33
1955,54.68
1956,55.31
1957,58.76
1958,58.06
1959,60.23
1960,60.3
1961,55.55
1962,58.02
1963,59.62
1964,59.17
1965,57.06
1966,58.52
1967,60.61
1968,60.75
1969,67.07
1970,58.48
1971,55.75
1972,61.79
1973,59.02
1974,58.49
1975,55.68
1976,61.5
1977,60.47
1978,61.48
1979,61.69
1980,61.07
1981,63.61
1982,61.07
1983,58.86
1984,60.49
1985,60.11
1986,59.96
1987,64.84
1988,61.02
1989,60.18
1990,62.9
1991,63.19
1992,65.03
1993,66.91
1994,63.6
1995,60.42
1996,62.12
1997,63.17
1998,64.54
1999,62.36
2000,59.41
2001,58.88
2002,64.16
2003,64.84
2004,61.82
2005,60.73
2006,61.53
2007,60.68
2008,60.62
2009,61.75
2010,62.52
2011,60.38
2012,59.81
2013,58.78
2014,58.19
2015,60.94
2016,60.31
2017,58.7
2018,58.05
2019,59.59
2020,58.49
2021,53.47
2022,58.95
2023,57.24
2024,62.75
