"Category","Temperature-based Excess Mortality (factor)"
1950,0.09
1951,0.05
1952,0.09
1953,0.09
1954,0.03
1955,0.13
1956,0.15
1957,0.05
1958,0.1
1959,0.04
1960,0.06
1961,0.08
1962,0.1
1963,0.04
1964,0.03
1965,0.07
1966,0.09
1967,0.07
1968,0.11
1969,0.03
1970,0.07
1971,0.08
1972,0.01
1973,0.09
1974,0.08
1975,0.13
1976,0.1
1977,0.09
1978,0.1
1979,0.08
1980,0.09
1981,0.04
1982,0.06
1983,0.13
1984,0.14
1985,0.06
1986,0.08
1987,0.06
1988,0.11
1989,0.06
1990,0.1
1991,0.05
1992,0.03
1993,0.04
1994,0.07
1995,0.07
1996,0.08
1997,0.13
1998,0.08
1999,0.05
2000,0.08
2001,0.07
2002,0.08
2003,0.07
2004,0.08
2005,0.11
2006,0.1
2007,0.08
2008,0.15
2009,0.05
2010,0.08
2011,0.13
2012,0.09
2013,0.12
2014,0.12
2015,0.15
2016,0.12
2017,0.13
2018,0.15
2019,0.16
2020,0.07
2021,0.19
2022,0.16
2023,0.15
2024,0.09
