"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,16.27,16.48
1902,16.97,16.25
1903,15.27,16.04
1904,16.18,15.88
1905,15.53,15.79
1906,16.27,15.8
1907,15.27,15.92
1908,16.36,16.14
1909,17.51,16.41
1910,16.3,16.67
1911,15.75,16.87
1912,17.02,16.97
1913,16.59,16.95
1914,17.12,16.84
1915,17.89,16.66
1916,15.93,16.45
1917,17.29,16.25
1918,15.83,16.09
1919,16.18,15.96
1920,13.8,15.88
1921,15.22,15.84
1922,16.97,15.85
1923,15.55,15.91
1924,16.05,15.98
1925,17.43,16.05
1926,16.5,16.07
1927,16.36,16.01
1928,14.83,15.83
1929,14.86,15.53
1930,14.87,15.18
1931,14.57,14.86
1932,15.07,14.64
1933,15.66,14.6
1934,14.14,14.79
1935,15.17,15.17
1936,16.28,15.65
1937,15.38,16.15
1938,16.51,16.59
1939,16.88,16.88
1940,17.31,17.01
1941,17.96,17.01
1942,16.34,16.9
1943,15.51,16.72
1944,17.08,16.5
1945,15.6,16.27
1946,16.36,16.04
1947,17.04,15.83
1948,16.35,15.67
1949,14.42,15.56
1950,15.17,15.52
1951,15.38,15.54
1952,15.74,15.59
1953,15.75,15.67
1954,14.86,15.74
1955,17.27,15.79
1956,16.19,15.82
1957,14.85,15.84
1958,16.16,15.86
1959,15.46,15.9
1960,15.37,15.96
1961,16.89,16.06
1962,16.26,16.16
1963,17.07,16.25
1964,15.07,16.31
1965,16.51,16.29
1966,16.72,16.2
1967,15.9,16.05
1968,15.89,15.87
1969,14.09,15.69
1970,16.59,15.56
1971,17.18,15.51
1972,13.85,15.54
1973,16.33,15.63
1974,15.1,15.75
1975,16.27,15.87
1976,15.36,15.97
1977,16.35,16.03
1978,16.02,16.06
1979,16.28,16.08
1980,16.4,16.09
1981,16.42,16.12
1982,15.57,16.17
1983,17.1,16.24
1984,15.19,16.31
1985,16.11,16.35
1986,16.38,16.37
1987,16.06,16.33
1988,16.98,16.23
1989,16.12,16.12
1990,16.66,16.01
1991,16.09,15.94
1992,15.73,15.92
1993,14.88,15.99
1994,15.92,16.12
1995,17.36,16.29
1996,15.79,16.47
1997,17.14,16.65
1998,16.38,16.8
1999,17.09,16.92
2000,17.07,17.01
2001,17.46,17.06
2002,17.19,17.1
2003,16.16,17.11
2004,17.45,17.1
2005,17.14,17.09
2006,17.16,17.06
2007,17.28,17.03
2008,16.65,17.01
2009,16.94,17
2010,17.72,17
2011,16.57,17.01
2012,16.44,17.05
2013,17.7,17.11
2014,16.64,17.19
2015,17.45,17.3
2016,18.12,17.42
2017,17.47,17.55
2018,17.51,17.67
2019,17.97,17.77
2020,16.92,17.86
2021,18.36,17.93
2022,17.79,17.99
2023,18.86,18.04
2024,17.62,18.09
