"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,9.6,9.85
1902,10.36,9.63
1903,8.78,9.44
1904,9.35,9.29
1905,9.06,9.2
1906,9.75,9.2
1907,8.9,9.31
1908,9.61,9.5
1909,10.43,9.74
1910,9.77,9.97
1911,9.1,10.16
1912,9.99,10.26
1913,10.04,10.26
1914,10.79,10.17
1915,11.43,10.02
1916,9.23,9.85
1917,10.6,9.67
1918,8.91,9.52
1919,9.04,9.4
1920,8.03,9.32
1921,9.05,9.27
1922,10.31,9.28
1923,9.01,9.33
1924,9.46,9.42
1925,10.27,9.51
1926,9.97,9.56
1927,9.87,9.56
1928,8.81,9.46
1929,8.5,9.26
1930,8.76,9.02
1931,8.76,8.78
1932,9.04,8.62
1933,9.4,8.57
1934,8.24,8.69
1935,8.94,8.94
1936,9.51,9.26
1937,8.75,9.61
1938,9.87,9.92
1939,10.24,10.14
1940,10.63,10.26
1941,11.17,10.28
1942,9.91,10.22
1943,9.04,10.1
1944,10.37,9.92
1945,9.1,9.71
1946,9.62,9.49
1947,10.3,9.29
1948,9.6,9.12
1949,8.23,9.03
1950,8.46,9.02
1951,9.11,9.08
1952,9.46,9.18
1953,9.64,9.3
1954,8.57,9.4
1955,10.49,9.46
1956,9.6,9.49
1957,8.52,9.48
1958,9.95,9.48
1959,9.31,9.5
1960,9.12,9.57
1961,10.32,9.68
1962,9.87,9.82
1963,10.64,9.95
1964,8.76,10.04
1965,10.22,10.06
1966,10.44,10
1967,9.85,9.86
1968,9.83,9.68
1969,8.33,9.52
1970,10.23,9.39
1971,10.6,9.35
1972,7.93,9.39
1973,10.02,9.5
1974,9.1,9.64
1975,10.03,9.79
1976,9.5,9.92
1977,10.37,10.01
1978,10.05,10.08
1979,10.3,10.12
1980,10.39,10.15
1981,10.57,10.18
1982,9.67,10.21
1983,10.87,10.24
1984,9.25,10.27
1985,10.01,10.29
1986,10.32,10.29
1987,10.27,10.26
1988,10.86,10.2
1989,9.9,10.14
1990,10.64,10.07
1991,10.19,10.03
1992,9.99,10.03
1993,9.25,10.07
1994,9.92,10.15
1995,10.97,10.26
1996,9.69,10.39
1997,10.95,10.54
1998,10.51,10.69
1999,11.13,10.83
2000,11.03,10.97
2001,11.27,11.08
2002,11.12,11.16
2003,10.5,11.2
2004,11.58,11.2
2005,11.18,11.17
2006,11.16,11.12
2007,11.18,11.07
2008,10.66,11.03
2009,11.07,11
2010,11.68,10.98
2011,10.68,10.98
2012,10.38,11
2013,11.59,11.03
2014,10.28,11.08
2015,11.55,11.14
2016,11.91,11.22
2017,11.13,11.31
2018,11.16,11.41
2019,11.86,11.53
2020,10.81,11.66
2021,11.91,11.8
2022,12.15,11.95
2023,12.7,12.1
2024,11.82,12.26
