"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,2.97,3.25
1902,3.78,3.05
1903,2.32,2.86
1904,2.56,2.72
1905,2.61,2.64
1906,3.26,2.63
1907,2.57,2.72
1908,2.9,2.89
1909,3.39,3.09
1910,3.25,3.31
1911,2.47,3.48
1912,3,3.58
1913,3.52,3.59
1914,4.49,3.53
1915,5,3.42
1916,2.56,3.27
1917,3.95,3.12
1918,2.02,2.98
1919,1.92,2.86
1920,2.28,2.78
1921,2.9,2.73
1922,3.68,2.73
1923,2.49,2.78
1924,2.9,2.88
1925,3.14,2.98
1926,3.48,3.08
1927,3.4,3.13
1928,2.82,3.11
1929,2.16,3.02
1930,2.67,2.88
1931,2.97,2.73
1932,3.04,2.62
1933,3.17,2.57
1934,2.37,2.61
1935,2.74,2.73
1936,2.78,2.9
1937,2.15,3.09
1938,3.26,3.28
1939,3.62,3.43
1940,3.99,3.53
1941,4.41,3.58
1942,3.5,3.57
1943,2.6,3.5
1944,3.69,3.37
1945,2.61,3.18
1946,2.9,2.97
1947,3.59,2.76
1948,2.87,2.6
1949,2.07,2.52
1950,1.77,2.54
1951,2.86,2.64
1952,3.22,2.79
1953,3.55,2.95
1954,2.3,3.09
1955,3.75,3.16
1956,3.02,3.18
1957,2.22,3.16
1958,3.76,3.13
1959,3.18,3.14
1960,2.91,3.2
1961,3.79,3.33
1962,3.52,3.49
1963,4.23,3.66
1964,2.46,3.8
1965,3.95,3.86
1966,4.19,3.82
1967,3.82,3.69
1968,3.8,3.53
1969,2.59,3.36
1970,3.89,3.25
1971,4.05,3.21
1972,2.02,3.27
1973,3.73,3.39
1974,3.12,3.55
1975,3.81,3.73
1976,3.67,3.9
1977,4.41,4.03
1978,4.12,4.12
1979,4.34,4.19
1980,4.4,4.24
1981,4.75,4.26
1982,3.8,4.28
1983,4.66,4.28
1984,3.32,4.27
1985,3.94,4.25
1986,4.29,4.23
1987,4.5,4.21
1988,4.78,4.19
1989,3.71,4.18
1990,4.65,4.17
1991,4.31,4.16
1992,4.27,4.16
1993,3.64,4.18
1994,3.95,4.21
1995,4.61,4.26
1996,3.6,4.34
1997,4.8,4.45
1998,4.67,4.6
1999,5.19,4.78
2000,5.03,4.96
2001,5.11,5.12
2002,5.09,5.25
2003,4.88,5.32
2004,5.74,5.32
2005,5.25,5.28
2006,5.19,5.22
2007,5.11,5.14
2008,4.68,5.07
2009,5.22,5.02
2010,5.69,5
2011,4.83,4.99
2012,4.34,4.99
2013,5.51,4.99
2014,3.94,5
2015,5.69,5.02
2016,5.75,5.05
2017,4.83,5.1
2018,4.86,5.19
2019,5.79,5.32
2020,4.72,5.49
2021,5.49,5.7
2022,6.55,5.94
2023,6.58,6.19
2024,6.03,6.45
