"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.19
1952,0.62
1953,0.47
1954,1.7
1955,-0.52
1956,0.29
1957,-0.08
1958,0.48
1959,0.8
1960,0.38
1961,-0.59
1962,-0.4
1963,0.04
1964,1.39
1965,0.22
1966,-0.61
1967,0
1968,0.01
1969,1.61
1970,0.36
1971,-0.7
1972,0.11
1973,0.5
1974,-0.11
1975,-0.83
1976,-0.05
1977,-0.3
1978,0.85
1979,0.92
1980,0.23
1981,1.21
1982,0.4
1983,-0.02
1984,-0.01
1985,0.14
1986,-0.67
1987,0.74
1988,0.65
1989,0.13
1990,-0.12
1991,0.41
1992,0.98
1993,0.96
1994,0.87
1995,-0.26
1996,-0.66
1997,-0.34
1998,0.53
1999,-0.57
2000,-1.18
2001,-1.4
2002,0.31
2003,1.02
2004,-0.03
2005,-0.36
2006,-1.17
2007,-1.06
2008,-1.81
2009,-0.65
2010,-0.58
2011,-1.92
2012,-0.81
2013,-1.37
2014,-1.04
2015,-0.64
2016,-0.4
2017,-0.27
2018,-1.31
2019,-0.6
2020,-1.33
2021,-2.05
2022,-1.7
2023,-2.01
2024,-1.19
