"Category","Average Largest 1-Day Precipitation (mm)"
1950,9.53
1951,11.35
1952,14.71
1953,14.28
1954,15.87
1955,11.63
1956,12.27
1957,10.11
1958,14.21
1959,12.87
1960,11.17
1961,13.03
1962,11.1
1963,12.06
1964,16.23
1965,12.18
1966,14.06
1967,13.53
1968,11.43
1969,21.23
1970,11.2
1971,9.7
1972,11.34
1973,12.68
1974,13.38
1975,12.1
1976,13.94
1977,12.78
1978,14
1979,14.84
1980,12.43
1981,17.64
1982,10.93
1983,10.87
1984,14.35
1985,12.13
1986,11.57
1987,13.27
1988,12.74
1989,15.31
1990,10.66
1991,15.84
1992,14.1
1993,14.46
1994,13.99
1995,9.94
1996,13.31
1997,13.99
1998,15.35
1999,11.54
2000,9
2001,12.1
2002,20.42
2003,16
2004,14.31
2005,13.5
2006,11.77
2007,12.2
2008,8.06
2009,12.85
2010,12.19
2011,12.23
2012,14.25
2013,11.96
2014,12.46
2015,12.91
2016,11.57
2017,11.75
2018,16.07
2019,12.95
2020,14.43
2021,13.32
2022,10.56
2023,9.99
2024,14.95
