"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,21.5
1951,23.4
1952,28.59
1953,29.66
1954,28.41
1955,23.29
1956,25.19
1957,19.93
1958,27.94
1959,25.99
1960,19.22
1961,22.91
1962,17.84
1963,22.92
1964,29.54
1965,18.89
1966,23.06
1967,25.85
1968,21.68
1969,40.45
1970,19.35
1971,17.47
1972,21.1
1973,22.98
1974,22.74
1975,20.47
1976,27.47
1977,25.1
1978,23.34
1979,27.14
1980,19.98
1981,32.81
1982,17.85
1983,19.15
1984,25.33
1985,22.58
1986,24.35
1987,28.35
1988,24.67
1989,27.21
1990,21.29
1991,31.83
1992,25.4
1993,27.26
1994,23.22
1995,18.28
1996,23.42
1997,28.94
1998,28.69
1999,17.99
2000,13.45
2001,17.46
2002,35.87
2003,26.99
2004,27.81
2005,28.84
2006,18.14
2007,28.91
2008,13.42
2009,21.55
2010,21.95
2011,23.99
2012,24.74
2013,22.79
2014,21.62
2015,27.47
2016,22.45
2017,26.05
2018,24.27
2019,24.58
2020,27.54
2021,25.61
2022,25.83
2023,19.99
2024,23.69
