"Category","Average Maximum Surface Air Temperature (°C)"
1950,16.45
1951,17.12
1952,17.44
1953,17.58
1954,16.71
1955,19.11
1956,17.61
1957,17.18
1958,17.96
1959,16.69
1960,17.22
1961,18.9
1962,17.94
1963,18.62
1964,16.86
1965,18.18
1966,18.96
1967,17.88
1968,17.83
1969,15.81
1970,18.24
1971,18.99
1972,16.37
1973,18.05
1974,17.19
1975,18.5
1976,16.75
1977,18.02
1978,17.46
1979,18.51
1980,17.7
1981,18.19
1982,17.28
1983,19.16
1984,16.77
1985,18.04
1986,18.23
1987,17.65
1988,18.45
1989,18.1
1990,18.54
1991,17.91
1992,17.46
1993,16.53
1994,17.57
1995,19.25
1996,17.74
1997,19.22
1998,18.29
1999,19.16
2000,19.12
2001,19.24
2002,19.04
2003,18.02
2004,19.71
2005,19.47
2006,19.11
2007,19.56
2008,18.97
2009,18.97
2010,20.04
2011,18.55
2012,18.8
2013,19.93
2014,18.37
2015,19.3
2016,19.87
2017,19.22
2018,19.02
2019,19.93
2020,19.04
2021,20.42
2022,19.81
2023,21.07
2024,19.65
