"Category","Average Mean Surface Air Temperature (°C)"
1950,11.08
1951,11.86
1952,12.21
1953,12.55
1954,11.44
1955,13.54
1956,12.25
1957,11.89
1958,12.81
1959,11.58
1960,11.92
1961,13.4
1962,12.65
1963,13.38
1964,11.77
1965,12.99
1966,13.4
1967,12.57
1968,12.39
1969,10.8
1970,12.71
1971,13.37
1972,10.97
1973,12.74
1974,11.68
1975,12.97
1976,11.62
1977,12.83
1978,12.42
1979,13.22
1980,12.64
1981,13.17
1982,12.07
1983,13.8
1984,11.49
1985,12.67
1986,12.84
1987,12.51
1988,13.23
1989,12.76
1990,13.32
1991,12.76
1992,12.41
1993,11.58
1994,12.36
1995,13.65
1996,12.08
1997,13.67
1998,13.03
1999,13.69
2000,13.62
2001,13.79
2002,13.62
2003,12.87
2004,14.25
2005,13.99
2006,13.62
2007,13.89
2008,13.19
2009,13.59
2010,14.24
2011,13.06
2012,13.14
2013,14.38
2014,12.69
2015,14.08
2016,14.52
2017,13.74
2018,13.48
2019,14.49
2020,13.44
2021,14.48
2022,14.39
2023,15.28
2024,14.35
