"Category","Average Minimum Surface Air Temperature (°C)"
1950,5.3
1951,6.13
1952,6.55
1953,7.06
1954,5.81
1955,7.55
1956,6.5
1957,6
1958,7.14
1959,6.1
1960,6.2
1961,7.39
1962,6.91
1963,7.67
1964,6.21
1965,7.38
1966,7.39
1967,6.78
1968,6.45
1969,5.27
1970,6.79
1971,7.27
1972,4.87
1973,6.97
1974,5.71
1975,6.94
1976,6.08
1977,7.05
1978,6.92
1979,7.46
1980,7.02
1981,7.81
1982,6.47
1983,8.12
1984,5.79
1985,6.87
1986,7.05
1987,7.02
1988,7.59
1989,6.97
1990,7.66
1991,7.11
1992,6.88
1993,6
1994,6.63
1995,7.61
1996,5.89
1997,7.6
1998,7.24
1999,7.61
2000,7.52
2001,7.62
2002,7.68
2003,7.3
2004,8.23
2005,7.97
2006,7.44
2007,7.64
2008,6.79
2009,7.57
2010,7.97
2011,6.87
2012,6.88
2013,8.24
2014,6.32
2015,8.19
2016,8.75
2017,7.67
2018,7.25
2019,8.5
2020,7.12
2021,7.84
2022,8.37
2023,8.9
2024,8.46
