"Category","Precipitation amount during wettest days (mm)"
1950,3.08
1951,4.46
1952,5.63
1953,6.89
1954,9.75
1955,6.83
1956,7.54
1957,3.65
1958,6.53
1959,5.17
1960,4.84
1961,7.71
1962,3.88
1963,4.95
1964,7.85
1965,5.45
1966,5.12
1967,6.1
1968,3.43
1969,12.33
1970,3.85
1971,2.81
1972,4.18
1973,6.15
1974,3.61
1975,3.91
1976,6.82
1977,4.02
1978,7.75
1979,9.12
1980,5.49
1981,7.62
1982,5.68
1983,3.51
1984,9.93
1985,5.49
1986,3.39
1987,6.38
1988,7
1989,7.33
1990,4.33
1991,8.67
1992,5.14
1993,7.29
1994,7.62
1995,3.74
1996,7.35
1997,5.92
1998,8.39
1999,3.52
2000,1.6
2001,4.33
2002,9.54
2003,7.65
2004,8.29
2005,7.63
2006,4.1
2007,3.83
2008,2.56
2009,4.85
2010,4.3
2011,5.94
2012,4.81
2013,6.5
2014,4
2015,7.71
2016,5.13
2017,4.96
2018,7.08
2019,4.97
2020,8.26
2021,4.22
2022,5.59
2023,5.12
2024,9.38
