"Category","Relative Humidity (%)"
1950,48.93
1951,50.79
1952,50.55
1953,53.43
1954,53.7
1955,47.03
1956,49.72
1957,51.53
1958,51.71
1959,54.36
1960,53.05
1961,50.72
1962,52.79
1963,53.46
1964,54.71
1965,52.79
1966,50.29
1967,54.97
1968,53.01
1969,58.54
1970,52.85
1971,51.49
1972,54.01
1973,54.91
1974,51.49
1975,49.84
1976,55.65
1977,54.9
1978,56.66
1979,54.66
1980,56.91
1981,57.97
1982,56.34
1983,54.27
1984,53.72
1985,54.02
1986,52.63
1987,56.17
1988,55.89
1989,54.2
1990,55.52
1991,56.11
1992,57.26
1993,57.35
1994,56.43
1995,52.44
1996,51.52
1997,53.24
1998,55.04
1999,53.5
2000,52.98
2001,52.17
2002,55.3
2003,57.61
2004,53.75
2005,52.6
2006,52.64
2007,52.17
2008,52.01
2009,54.5
2010,51.15
2011,51.08
2012,50.03
2013,50.92
2014,50.5
2015,53.05
2016,53.23
2017,50.88
2018,49.56
2019,51.44
2020,50.09
2021,46.49
2022,51.71
2023,48.1
2024,52.15
