"Category","Temperature-based Excess Mortality (factor)"
1950,0.05
1951,0.06
1952,0.1
1953,0.06
1954,0.03
1955,0.14
1956,0.1
1957,0.03
1958,0.06
1959,0.04
1960,0.07
1961,0.08
1962,0.1
1963,0.04
1964,0.05
1965,0.07
1966,0.11
1967,0.07
1968,0.08
1969,0.06
1970,0.06
1971,0.07
1972,0.03
1973,0.1
1974,0.07
1975,0.14
1976,0.1
1977,0.1
1978,0.09
1979,0.11
1980,0.1
1981,0.06
1982,0.05
1983,0.16
1984,0.17
1985,0.1
1986,0.09
1987,0.09
1988,0.1
1989,0.08
1990,0.1
1991,0.07
1992,0.05
1993,0.07
1994,0.06
1995,0.11
1996,0.09
1997,0.13
1998,0.12
1999,0.11
2000,0.11
2001,0.09
2002,0.14
2003,0.09
2004,0.09
2005,0.16
2006,0.14
2007,0.12
2008,0.17
2009,0.07
2010,0.18
2011,0.18
2012,0.16
2013,0.1
2014,0.18
2015,0.21
2016,0.11
2017,0.18
2018,0.18
2019,0.2
2020,0.16
2021,0.27
2022,0.18
2023,0.2
2024,0.14
