"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.16
1952,0.54
1953,0.24
1954,1.4
1955,-0.77
1956,0.06
1957,0.22
1958,-0.02
1959,1.11
1960,0.09
1961,-0.96
1962,-0.63
1963,0.13
1964,1.22
1965,0.46
1966,-0.3
1967,0.05
1968,-0.16
1969,1.44
1970,0.29
1971,-0.17
1972,0.33
1973,0.58
1974,0.37
1975,-0.75
1976,-0.24
1977,-0.14
1978,1.25
1979,1.17
1980,0
1981,1.71
1982,0.56
1983,-0.02
1984,0.56
1985,0.32
1986,-0.4
1987,0.67
1988,0.49
1989,0.26
1990,-0.4
1991,0.5
1992,0.88
1993,0.94
1994,1.06
1995,-0.8
1996,-0.44
1997,-0.2
1998,0.26
1999,-1.18
2000,-1.75
2001,-1.19
2002,0.38
2003,1.18
2004,-0.24
2005,-0.41
2006,-1.39
2007,-1.02
2008,-1.56
2009,-1.16
2010,-1.43
2011,-1.7
2012,-0.77
2013,-1.25
2014,-0.92
2015,-0.98
2016,-0.78
2017,-0.55
2018,-1.4
2019,-0.94
2020,-2.15
2021,-1.9
2022,-1.38
2023,-2.12
2024,-1.31
