"Category","Average Largest 1-Day Precipitation (mm)"
1950,5.46
1951,8.08
1952,11.57
1953,15.72
1954,12.03
1955,9.74
1956,11.05
1957,11.12
1958,8.52
1959,14.83
1960,5.1
1961,5.63
1962,5.75
1963,7.73
1964,9.73
1965,8.22
1966,16.9
1967,9.2
1968,10.22
1969,10.6
1970,9.73
1971,12.67
1972,11.78
1973,17.37
1974,9.67
1975,11.86
1976,15.34
1977,6.29
1978,18.08
1979,16.34
1980,7.71
1981,39.33
1982,10.83
1983,15.83
1984,27.02
1985,20.32
1986,7.74
1987,13.11
1988,8.31
1989,20.43
1990,7.79
1991,20.61
1992,14.78
1993,9.97
1994,16.61
1995,6.85
1996,10.69
1997,17.05
1998,9.61
1999,10.46
2000,5.78
2001,14.85
2002,16.35
2003,12.07
2004,22.25
2005,10.46
2006,10.24
2007,8.6
2008,6.34
2009,15.31
2010,10.91
2011,21.38
2012,12.16
2013,10.82
2014,11.31
2015,11.81
2016,13.14
2017,7.5
2018,10.9
2019,9.33
2020,6.24
2021,13.23
2022,10.8
2023,5.23
2024,8.61
