"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,9.16
1951,12.49
1952,24.25
1953,27
1954,20.33
1955,19.28
1956,12.58
1957,16.84
1958,11.73
1959,31.52
1960,7.2
1961,8.89
1962,8.12
1963,17.9
1964,12.71
1965,12.63
1966,19.36
1967,21.26
1968,17.07
1969,19.78
1970,11.83
1971,17.44
1972,18.39
1973,20.03
1974,15.61
1975,15.57
1976,26.17
1977,10.34
1978,27.55
1979,24.81
1980,11.45
1981,59.68
1982,15.39
1983,24.7
1984,30.64
1985,24.81
1986,14.79
1987,17.26
1988,14.46
1989,33.67
1990,12.59
1991,22.98
1992,30.81
1993,15
1994,33.31
1995,9.79
1996,13.41
1997,34.6
1998,18.73
1999,16.42
2000,7.74
2001,21.3
2002,33.18
2003,20.99
2004,27.35
2005,15.28
2006,14.56
2007,17.86
2008,12.66
2009,18.89
2010,15.24
2011,24.68
2012,15.42
2013,16.36
2014,20.34
2015,29.31
2016,16.43
2017,11.32
2018,11.74
2019,16.12
2020,9.34
2021,13.65
2022,18.06
2023,8.5
2024,12.49
