"Category","Precipitation amount during wettest days (mm)"
1950,0
1951,0
1952,0
1953,0
1954,0.06
1955,0.05
1956,1.15
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6.02
1967,0
1968,0
1969,0.5
1970,0
1971,0
1972,0
1973,5.04
1974,0
1975,0
1976,6.96
1977,0
1978,6.87
1979,5.43
1980,0
1981,19.85
1982,0
1983,10.48
1984,27.47
1985,14.53
1986,0
1987,3.03
1988,0
1989,12.41
1990,0
1991,15.25
1992,0.03
1993,0
1994,6.35
1995,0
1996,0
1997,3.37
1998,0.12
1999,0
2000,0
2001,0.45
2002,5.37
2003,1.99
2004,20.56
2005,1.69
2006,4.42
2007,0
2008,0
2009,5.47
2010,0
2011,19.34
2012,0.17
2013,0.09
2014,0
2015,0
2016,1.33
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
