"Category","Relative Humidity (%)"
1950,44.06
1951,43.75
1952,44.74
1953,48.62
1954,48.14
1955,43.24
1956,45.2
1957,46.97
1958,46.54
1959,50.02
1960,47.62
1961,46.57
1962,49.24
1963,50.78
1964,49.94
1965,49.47
1966,46.4
1967,50.53
1968,48.75
1969,53.98
1970,49.37
1971,49.86
1972,49.03
1973,52.19
1974,46.38
1975,46.26
1976,50.98
1977,51.17
1978,53.37
1979,50.73
1980,52.19
1981,54.83
1982,52.97
1983,51.44
1984,49.78
1985,52.07
1986,50.78
1987,53.07
1988,52.97
1989,51.57
1990,51.89
1991,52.59
1992,54.99
1993,54.02
1994,53.35
1995,49.31
1996,49.74
1997,50.8
1998,50.91
1999,49.55
2000,49.2
2001,50.15
2002,51.18
2003,54.66
2004,50.5
2005,51.25
2006,49.54
2007,49.26
2008,48.21
2009,50.76
2010,46.52
2011,48.89
2012,47.81
2013,49.75
2014,47.56
2015,50.21
2016,50.42
2017,47.42
2018,45.55
2019,48
2020,46.29
2021,45.22
2022,49.16
2023,44.7
2024,48.47
