"Category","Temperature-based Excess Mortality (factor)"
1950,0.04
1951,0.07
1952,0.09
1953,0.06
1954,0.03
1955,0.16
1956,0.1
1957,0.03
1958,0.06
1959,0.04
1960,0.06
1961,0.09
1962,0.09
1963,0.04
1964,0.08
1965,0.07
1966,0.13
1967,0.06
1968,0.06
1969,0.08
1970,0.06
1971,0.07
1972,0.03
1973,0.1
1974,0.07
1975,0.15
1976,0.12
1977,0.13
1978,0.1
1979,0.13
1980,0.13
1981,0.07
1982,0.04
1983,0.16
1984,0.18
1985,0.11
1986,0.1
1987,0.1
1988,0.11
1989,0.09
1990,0.1
1991,0.08
1992,0.05
1993,0.09
1994,0.05
1995,0.12
1996,0.09
1997,0.12
1998,0.12
1999,0.11
2000,0.12
2001,0.08
2002,0.14
2003,0.08
2004,0.08
2005,0.16
2006,0.13
2007,0.11
2008,0.16
2009,0.08
2010,0.2
2011,0.18
2012,0.16
2013,0.1
2014,0.17
2015,0.23
2016,0.1
2017,0.17
2018,0.19
2019,0.22
2020,0.17
2021,0.26
2022,0.17
2023,0.17
2024,0.11
