"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,90.43,98.85
1902,118.39,98.19
1903,77.48,97.17
1904,77.03,95.44
1905,115.82,92.65
1906,117.43,88.45
1907,94.63,82.54
1908,59.72,75.53
1909,44.7,68.68
1910,29.18,63.18
1911,80.21,60.27
1912,42.15,61.16
1913,81.22,66.12
1914,103.75,73.8
1915,110.39,82.72
1916,93.02,91.41
1917,48.14,98.34
1918,110.98,102.35
1919,104.48,103.68
1920,106.06,102.93
1921,85.15,100.74
1922,100.38,97.75
1923,84.22,94.55
1924,125.61,91.56
1925,72.83,89.06
1926,126.29,87.31
1927,57.76,86.55
1928,86.88,87.07
1929,49.95,88.87
1930,92.76,91.55
1931,118.93,94.65
1932,114.34,97.72
1933,132.58,100.28
1934,98.33,101.94
1935,77.9,102.65
1936,81.94,102.47
1937,63.96,101.43
1938,94.66,99.61
1939,124.1,97.06
1940,145.48,93.95
1941,93.61,90.57
1942,69.17,87.2
1943,77.09,84.11
1944,58.04,81.6
1945,104.48,79.86
1946,69.07,78.93
1947,76.35,78.84
1948,76.76,79.59
1949,98.89,81.2
1950,59.87,83.64
1951,78.09,86.47
1952,118.81,89.14
1953,108.3,91.07
1954,85.79,91.7
1955,60.95,90.52
1956,78.05,87.76
1957,80.15,84.41
1958,114.9,81.46
1959,94.15,79.92
1960,70.29,80.79
1961,58.45,84.53
1962,99.88,90.29
1963,108.76,97.03
1964,109.09,103.72
1965,70.55,109.28
1966,123.86,112.81
1967,116.82,114.23
1968,91.85,113.76
1969,204.79,111.68
1970,75.9,108.22
1971,72.4,103.65
1972,82.73,98.63
1973,136.37,94.27
1974,75.11,91.66
1975,58.49,91.89
1976,98.4,96.1
1977,97.13,104.52
1978,173.74,115.16
1979,114.42,125.64
1980,109.56,133.59
1981,195.34,136.59
1982,90.59,132.7
1983,113.35,123.42
1984,97.39,111.82
1985,94.9,101.06
1986,88.43,94.24
1987,137.76,94.36
1988,110.28,101.55
1989,108.06,112.34
1990,97.37,123.13
1991,114.69,130.32
1992,158.78,130.28
1993,108.26,121.06
1994,130.66,105.96
1995,68.1,89.21
1996,55.76,75.05
1997,87.53,67.82
1998,105.08,71.15
1999,74.74,83.42
2000,82.16,100.25
2001,90.44,117.07
2002,123.03,129.46
2003,161.73,133.04
2004,117.51,126.84
2005,120.51,114.48
2006,109.52,99.88
2007,102.53,86.94
2008,66.84,79.58
2009,96.32,80.47
2010,63.72,87.68
2011,98.41,98.33
2012,80.93,109.57
2013,127.7,118.42
2014,114.55,122.3
2015,131.29,121.15
2016,156.38,116.48
2017,109.09,109.84
2018,93.52,102.76
2019,102.56,96.75
2020,83.3,92.61
2021,64.85,90.04
2022,95.03,88.64
2023,80.54,88.03
2024,103.66,87.81
