"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,20.67,20.69
1902,20.88,20.39
1903,19.6,20.11
1904,19.67,19.87
1905,19.62,19.71
1906,20.11,19.64
1907,19.34,19.69
1908,19.87,19.84
1909,20.9,20.04
1910,20.43,20.24
1911,19.16,20.41
1912,20.37,20.49
1913,20.03,20.47
1914,20.72,20.37
1915,21.45,20.24
1916,19.8,20.09
1917,20.99,19.97
1918,19.31,19.91
1919,19.57,19.89
1920,18.55,19.9
1921,19.83,19.92
1922,20.79,19.95
1923,19.63,19.97
1924,19.81,19.96
1925,20.95,19.92
1926,20.31,19.84
1927,20.13,19.73
1928,18.65,19.55
1929,18.81,19.34
1930,19.15,19.13
1931,18.43,18.95
1932,19.32,18.85
1933,19.37,18.88
1934,18.33,19.05
1935,19.82,19.34
1936,20.29,19.68
1937,19.6,20.03
1938,20.16,20.33
1939,20.3,20.53
1940,20.79,20.61
1941,21.32,20.6
1942,20.29,20.51
1943,19.02,20.37
1944,21.04,20.2
1945,19.17,20.02
1946,20.16,19.84
1947,20.87,19.69
1948,20.47,19.57
1949,18.32,19.5
1950,18.91,19.49
1951,19.49,19.53
1952,19.6,19.6
1953,19.87,19.68
1954,19.02,19.77
1955,21.42,19.83
1956,19.61,19.87
1957,19.37,19.89
1958,20.45,19.92
1959,18.9,19.97
1960,19.77,20.04
1961,21.25,20.15
1962,20.32,20.26
1963,20.86,20.37
1964,19.18,20.44
1965,20.49,20.45
1966,21.14,20.39
1967,20.3,20.27
1968,20.3,20.12
1969,18.23,19.98
1970,20.69,19.86
1971,21.33,19.81
1972,18.53,19.83
1973,20.3,19.9
1974,19.39,19.99
1975,20.89,20.08
1976,19.3,20.17
1977,20.41,20.22
1978,20.09,20.25
1979,20.93,20.29
1980,20.26,20.33
1981,20.79,20.41
1982,19.96,20.53
1983,21.82,20.67
1984,19.46,20.81
1985,20.68,20.92
1986,20.86,20.96
1987,20.63,20.91
1988,21.2,20.78
1989,21.13,20.61
1990,21.16,20.45
1991,20.6,20.34
1992,19.87,20.33
1993,19.54,20.45
1994,20.15,20.67
1995,22.11,20.93
1996,20.56,21.21
1997,21.67,21.44
1998,21.06,21.59
1999,22.3,21.67
2000,21.97,21.68
2001,21.9,21.66
2002,21.62,21.62
2003,20.4,21.58
2004,21.98,21.55
2005,21.82,21.54
2006,21.43,21.52
2007,21.67,21.5
2008,21.22,21.47
2009,21.22,21.43
2010,22.34,21.38
2011,20.66,21.34
2012,20.91,21.31
2013,22.11,21.31
2014,20.71,21.34
2015,21.5,21.41
2016,21.98,21.51
2017,21.59,21.63
2018,21.54,21.76
2019,22.05,21.9
2020,21.19,22.04
2021,22.73,22.18
2022,22.14,22.32
2023,23.49,22.46
2024,21.88,22.6
