"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,13.85,13.93
1902,14.19,13.69
1903,12.89,13.47
1904,13.21,13.3
1905,13.18,13.18
1906,13.61,13.15
1907,12.87,13.21
1908,13.4,13.36
1909,14.32,13.55
1910,13.68,13.75
1911,12.8,13.91
1912,13.66,13.99
1913,13.82,13.98
1914,14.47,13.91
1915,15.04,13.79
1916,13.18,13.65
1917,14.32,13.54
1918,12.83,13.45
1919,13.07,13.4
1920,12.29,13.37
1921,13.3,13.37
1922,14.23,13.38
1923,13.08,13.39
1924,13.25,13.4
1925,14.25,13.39
1926,13.75,13.35
1927,13.55,13.27
1928,12.42,13.13
1929,12.31,12.94
1930,12.73,12.74
1931,12.35,12.57
1932,12.96,12.47
1933,13.06,12.48
1934,12.05,12.63
1935,13.14,12.9
1936,13.51,13.22
1937,12.93,13.55
1938,13.76,13.83
1939,13.99,14.02
1940,14.47,14.11
1941,14.81,14.1
1942,13.8,14.02
1943,12.72,13.88
1944,14.26,13.7
1945,12.81,13.5
1946,13.53,13.31
1947,14.16,13.13
1948,13.7,12.99
1949,12.1,12.92
1950,12.14,12.92
1951,13.04,12.99
1952,13.2,13.1
1953,13.65,13.22
1954,12.59,13.32
1955,14.57,13.4
1956,13.2,13.43
1957,12.81,13.45
1958,14.04,13.46
1959,12.8,13.49
1960,13.23,13.55
1961,14.47,13.64
1962,13.79,13.76
1963,14.45,13.86
1964,12.76,13.93
1965,13.99,13.94
1966,14.44,13.88
1967,13.75,13.75
1968,13.74,13.59
1969,12.15,13.44
1970,14.06,13.32
1971,14.53,13.26
1972,11.96,13.28
1973,13.82,13.34
1974,12.85,13.45
1975,14.12,13.56
1976,13.01,13.67
1977,14.05,13.77
1978,13.73,13.84
1979,14.37,13.91
1980,13.87,13.96
1981,14.58,14.02
1982,13.38,14.09
1983,15.12,14.15
1984,13.01,14.2
1985,14.02,14.23
1986,14.2,14.24
1987,14.12,14.22
1988,14.62,14.16
1989,14.3,14.09
1990,14.55,14.02
1991,14.21,13.97
1992,13.64,13.96
1993,13.28,14.01
1994,13.7,14.09
1995,15.15,14.21
1996,13.67,14.35
1997,14.83,14.5
1998,14.4,14.65
1999,15.22,14.8
2000,15.06,14.93
2001,15.12,15.03
2002,15.07,15.09
2003,14.28,15.12
2004,15.53,15.1
2005,15.25,15.05
2006,14.94,14.99
2007,15.08,14.92
2008,14.46,14.86
2009,14.88,14.82
2010,15.57,14.8
2011,14.25,14.8
2012,14.31,14.82
2013,15.57,14.85
2014,14.08,14.9
2015,15.3,14.97
2016,15.68,15.04
2017,15.04,15.13
2018,14.98,15.24
2019,15.6,15.35
2020,14.68,15.49
2021,15.86,15.63
2022,15.83,15.78
2023,16.63,15.93
2024,15.6,16.09
