"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,7.07,7.19
1902,7.52,7.02
1903,6.22,6.87
1904,6.78,6.75
1905,6.77,6.68
1906,7.14,6.68
1907,6.43,6.76
1908,6.96,6.91
1909,7.78,7.1
1910,6.98,7.28
1911,6.48,7.44
1912,6.98,7.52
1913,7.66,7.53
1914,8.27,7.47
1915,8.67,7.38
1916,6.6,7.26
1917,7.69,7.13
1918,6.38,7.03
1919,6.6,6.95
1920,6.07,6.89
1921,6.8,6.85
1922,7.7,6.84
1923,6.57,6.85
1924,6.71,6.87
1925,7.6,6.89
1926,7.22,6.89
1927,6.99,6.85
1928,6.22,6.74
1929,5.83,6.57
1930,6.35,6.39
1931,6.28,6.22
1932,6.63,6.11
1933,6.78,6.11
1934,5.79,6.25
1935,6.47,6.49
1936,6.75,6.78
1937,6.29,7.09
1938,7.37,7.36
1939,7.71,7.55
1940,8.18,7.64
1941,8.35,7.64
1942,7.35,7.56
1943,6.45,7.43
1944,7.52,7.24
1945,6.47,7.03
1946,6.92,6.8
1947,7.49,6.6
1948,6.97,6.45
1949,5.9,6.37
1950,5.39,6.39
1951,6.61,6.48
1952,6.84,6.62
1953,7.45,6.77
1954,6.18,6.91
1955,7.76,7
1956,6.83,7.03
1957,6.28,7.03
1958,7.67,7.03
1959,6.74,7.04
1960,6.72,7.08
1961,7.73,7.17
1962,7.29,7.28
1963,8.08,7.39
1964,6.37,7.46
1965,7.52,7.47
1966,7.77,7.41
1967,7.25,7.27
1968,7.22,7.1
1969,6.1,6.94
1970,7.48,6.81
1971,7.78,6.74
1972,5.44,6.76
1973,7.38,6.83
1974,6.32,6.94
1975,7.39,7.07
1976,6.75,7.21
1977,7.74,7.35
1978,7.41,7.46
1979,7.86,7.56
1980,7.52,7.63
1981,8.41,7.67
1982,6.81,7.68
1983,8.45,7.66
1984,6.59,7.63
1985,7.4,7.59
1986,7.57,7.56
1987,7.64,7.56
1988,8.09,7.57
1989,7.49,7.6
1990,7.98,7.63
1991,7.86,7.64
1992,7.45,7.63
1993,7.05,7.6
1994,7.27,7.55
1995,8.21,7.52
1996,6.8,7.52
1997,8.03,7.59
1998,7.76,7.75
1999,8.17,7.96
2000,8.18,8.21
2001,8.39,8.44
2002,8.57,8.62
2003,8.19,8.7
2004,9.12,8.69
2005,8.71,8.61
2006,8.48,8.49
2007,8.53,8.37
2008,7.75,8.28
2009,8.58,8.25
2010,8.83,8.26
2011,7.87,8.3
2012,7.74,8.37
2013,9.08,8.44
2014,7.49,8.5
2015,9.15,8.56
2016,9.41,8.61
2017,8.53,8.67
2018,8.47,8.75
2019,9.18,8.85
2020,8.2,8.97
2021,9.01,9.11
2022,9.56,9.27
2023,9.82,9.43
2024,9.35,9.6
